Title,Description,Priority,Label,Status
"[HIGH] Switch Meta optimization event to CompleteRegistration","Purchase: 11 events/month — impossible to exit learning. CompleteRegistration: 753 events/month — 68x more signal. Campaign will immediately begin receiving meaningful optimization data. 5 min change.",High,Meta,Todo
"[HIGH] Consolidate Meta BankConnect events","BankConnect and BankConnect_v2 both active — fragments optimization signal. Also remove TestEvent and _missing_event from production. Decide canonical version, deploy browser+server, implement event_id dedup.",High,Meta,Todo
"[HIGH] Set frequency caps across all platforms","Meta: 3x per person per 7 days (currently 7.9x/month). Google YouTube: 5x per user per week. Small B2B audiences exhaust quickly without caps.",High,Cross-Platform,Todo
"[HIGH] Add UTM parameters to all ads","Without UTMs, ad traffic appears as direct in HubSpot and GA. Google: bulk edit via Ads Editor. Meta: add to all destination URLs. Format: utm_source/utm_medium/utm_campaign/utm_content.",High,Cross-Platform,Todo
"[HIGH] Upload HubSpot customer list as exclusion audience","Stop wasting impressions on existing customers. Export HubSpot customers → upload as Custom Audience (Meta) and Customer Match (Google). Apply as exclusion on all acquisition campaigns.",High,Cross-Platform,Todo
"[HIGH] Add CAPI server-side firing for Meta Purchase event","Purchase is Browser-only — zero server-side coverage on most valuable event. iOS 14.5+ data loss on every Purchase event. Implement via Meta CAPI Gateway or direct server integration. 2-4 dev hours.",High,Meta,Todo
"[MEDIUM] Launch Google Branded Search campaign","Zero branded search = zero brand defense. Competitors (Plaid, Finicity, Argyle) may be bidding on Truv terms unopposed. Keywords: truv, truv.com, truv income verification. Budget: $500/mo min. Highest-ROI Google action.",Medium,Google,Todo
"[MEDIUM] Launch LinkedIn Thought Leader Ads","Sponsor executive quotes from case studies. FCM's 'couldn't reach a human for 2 years' is strongest hook. Lower CPC than standard sponsored content, native trust signals. No new creative needed.",Medium,LinkedIn,Todo
"[MEDIUM] Add video creative to Meta ad sets","Repurpose YouTube pre-roll footage as 15-second cuts. Lead with '$10M saved' or '100% login conversion' stat as first-frame hook. Breaks static-only format monoculture across all 3 ad sets.",Medium,Meta,Todo
"[MEDIUM] Build Meta retargeting campaign","20,500 PageViews/month is a substantial retargeting pool being wasted. Segments: /pricing visitors (highest intent), case study pages, blog/resources. Demo-focused CTAs for high-intent segments.",Medium,Meta,Todo
"[MEDIUM] Implement LinkedIn CAPI","Server-side tracking layer for B2B audience with above-average ad blocker usage. Deduplicate with browser events using shared eventId. Do after Insight Tag is fixed on production. 4-8 dev hours.",Medium,LinkedIn,Todo
"[MEDIUM] Enable Google Enhanced Conversions","Server-side conversion layer — required as cookies deprecate. Configure with hashed email from lead form submissions. 2-4 dev hours.",Medium,Google,Todo
"[MEDIUM] Build CCM and FCM carousel/video variants for LinkedIn","PHM has 5 carousel variants. CCM and FCM each only have 4 static ads. Apply same creative system across all three case studies.",Medium,LinkedIn,Todo
"[MEDIUM] Configure Google audience targeting on YouTube","Without audience targeting, YouTube campaign is a broad media buy. Apply: Customer Match (HubSpot), Custom Intent (mortgage tech terms), In-Market (Business Software, Mortgage).",Medium,Google,Todo
"[MEDIUM] Set up HubSpot → Google Ads offline conversion import","Map deal stages (Opportunity Created, Contract Signed) as imported conversions. Gives algorithm signal on actual revenue, not just form fills. 4-8 dev hours.",Medium,Google,Todo
"[MEDIUM] Update privacy policy for CCPA/CPRA compliance","Must disclose LinkedIn Insight Tag, Meta Pixel, Meta CAPI, Google Ads tags. Requires 'Do Not Sell or Share' link. Meta CAPI sends hashed PII — requires explicit disclosure.",Medium,Cross-Platform,Todo
"[MEDIUM] Build YouTube viewer remarketing audiences","Create audiences for 25%, 50%, 75%, 100% video watched. Accumulate data immediately even if not yet used in campaigns. Foundation for future retargeting. 15 min.",Medium,Google,Todo
"[LOW] Define unified cross-platform conversion taxonomy","Map 3-5 canonical events to each platform's event names. Enable cross-platform performance comparison. Currently impossible to compare across platforms.",Low,Cross-Platform,Backlog
"[LOW] Implement monthly CRM reconciliation","Compare platform-attributed conversions vs actual HubSpot deals. Quantify double-counting across overlapping attribution windows. Calculate true CAC per platform.",Low,Cross-Platform,Backlog
"[LOW] Launch Google Non-Brand Search campaign","Keywords: income verification API, employment verification software, VOE mortgage lenders. Expected CPCs: $20-40 (financial services). Build after branded search is established.",Low,Google,Backlog
"[LOW] Create Meta Lookalike from CompleteRegistration events","753 events/28 days = sufficient seed for 1% Lookalike. Test as separate prospecting campaign alongside ABM. Expand reach beyond the 3 named companies.",Low,Meta,Backlog
"[LOW] Apply dayparting across all platforms","B2B mortgage audience: Tue-Thu 9am-5pm local time. Wait until campaigns exit learning phase before applying schedule adjustments.",Low,Cross-Platform,Backlog
"[LOW] Expand Meta ABM targeting from 3 to 10-20 companies","Current 3-company targeting creates unsustainable ~2,100 person audiences. Larger pool gives Meta more optimization room and reduces frequency saturation.",Low,Meta,Backlog
"[LOW] Test LinkedIn Predictive Audiences for prospecting","Requires 300+ conversion audience as seed. LinkedIn's replacement for deprecated Lookalikes (Feb 2024). Do after conversion baseline is established.",Low,LinkedIn,Backlog
"[LOW] Evaluate YouTube channel fit vs budget reallocation","If mortgage lender decision-makers aren't reachable at scale on YouTube, move budget to LinkedIn Video or Meta Video where job title/company targeting is precise.",Low,Google,Backlog
